Dwarf: Kaiya Fry, Giant: Devin Benitez
Dwarf: Eli Buck, Giant: Wilson Medina
Dwarf: Katrina Hanna, Giant: Charlize Cobb
Dwarf: Nikolas Porter, Giant: Sterling Walton
Dwarf: Alan Kemp, Giant: Heaven Bartlett
Dwarf: Abigayle Sosa, Giant: Donovan Petersen
Dwarf: Jay Gonzales, Giant: Dario Robertson
Dwarf: Sasha Horn, Giant: Abril Schaefer
Dwarf: Shea Robles, Giant: Nadia David
Dwarf: Simon Walker, Giant: Messiah Glover
Dwarf: Shyann Harmon, Giant: Jaydin Braun
Dwarf: Darnell Rangel, Giant: Anthony Bray
Dwarf: Jaidyn Noble, Giant: Taniyah Ramos
Dwarf: Kendall Cochran, Giant: Leila Becker
Dwarf: Axel Bolton, Giant: Dalia Gomez
Dwarf: Kylan Cantrell, Giant: Clara Bradley
Dwarf: Amiah Powell, Giant: Houston Nguyen
Dwarf: Desiree Carey, Giant: Kaleb Benitez
Dwarf: Kenyon Patel, Giant: Jason Jimenez
Dwarf: Maria Kelley, Giant: Terrance Gallagher
Dwarf: Evelyn Roth, Giant: Zackary Nguyen
Dwarf: Joyce Randolph, Giant: Aracely Nguyen
Dwarf: Brayden Young, Giant: Erica Bullock
Dwarf: Kelvin Cameron, Giant: Alvaro Haley
Dwarf: Elliot Cantu, Giant: Harry Peterson
Dwarf: Jaden Hardin, Giant: Mariyah Park
Dwarf: Jazmine Massey, Giant: Saige Castro
Dwarf: Louis Mcintosh, Giant: Jorge Good
Dwarf: Nadia Hernandez, Giant: Jordyn May
Dwarf: Quinn Reese, Giant: Hayden Massey
Dwarf: Elisha Andrade, Giant: Ralph Yu
Dwarf: Lindsey Hines, Giant: Kristin Dorsey
Dwarf: Aimee Mcpherson, Giant: Francisco Escobar
Dwarf: Oliver Mcconnell, Giant: Saniyah Luna
